_id,id,name,type,maintenance_responsibility,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1,2111959181,Able Long Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Able_Long_Park.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.4081182,-80.02819656
2,1109513049,Albert Turk Graham Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Albert_Turk_Graham_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44050716,-79.98401757
3,1544096765,Alcoa Park,Park,Parks - Northern,,North Shore,1,22,42003563200,6,22,1,1-20,40.44748073,-80.00101726
4,1212681573,Allegheny Commons,Park,Parks - Northern,,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.4531264,-80.00915763
5,954863286,Allegheny Landing Park,Park,Parks - Northern,,North Shore,1,22,42003563200,6,22,1,1-20,40.44718412,-80.0029073
6,223959093,Allegheny Riverfront Park,Park,Parks - Northern,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44459085,-80.00241592
7,1596467340,Alpine Gardens Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Alpine_Gardens_Park.jpg,Central Northside,6,25,42003250300,1,25,1,1-21,40.45767271,-80.01285151
8,1829922263,Alton Park,Park,Parks - Southern,,Beechview,4,19,42003191600,5,19,6,4-28,40.41458018,-80.02185513
10,1047118140,Ammon Park,Park,Parks - Schenley,,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44952617,-79.97824652
11,1928748922,Arlington Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41828271,-79.97505009
13,1848662473,Armstrong Park,Park,Parks - Southern,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42805587,-79.98584204
14,485438954,Arsenal Park,Park,Parks - Northeast,,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46669649,-79.96122939
15,1366899437,August Wilson Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/August_Wilson_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44677876,-79.98560194
16,1353792888,Banksville Park,Park,Parks - Western,,Banksville,2,20,42003202300,5,20,6,4-9,40.4142949,-80.03876036
17,1420702341,Banksville School Park,Park,Parks - Western,,Banksville,2,20,42003202300,5,20,6,4-9,40.40718069,-80.03768851
20,445268632,Baxter Park,Park,Parks - Eastern,,Homewood North,9,13,42003130200,2,13,5,3-17,40.45608163,-79.88919674
23,1990832198,Beechview Healthy Active Living Center Park,Park,Parks - Southern,,Beechview,4,19,42003191600,5,19,6,4-28,40.41072063,-80.02436175
24,2099892727,Blair Street Park,Park,Parks - Schenley,,Hazelwood,5,15,42003562900,3,15,4,2-13,40.40397355,-79.94567238
25,597222795,Bon Air Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Bon_Air_Park.jpg,Bon Air,4,18,42003562400,5,18,3,4-7,40.4075222,-79.99999487
26,79129285,Boundary Street Park,Park,Parks - Schenley,,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43852827,-79.95058888
27,1591249432,Brighton Heights Park,Park,Parks - Northern,,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.4855996,-80.02960586
29,485027123,Brookline Memorial Park,Park,Parks - Southern,,Brookline,4,32,42003320600,5,32,6,4-25,40.39004596,-80.00451498
31,276671370,Bud Hammer Park,Park,Parks - Schenley,,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42095425,-79.94669546
32,1899722366,Buhl Community Park at Allegheny Square,Park,Parks - Northern,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45244695,-80.0058282
33,1398444262,Burgwin Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Burgwin_Park.jpg,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40444462,-79.93683426
34,1023513713,Catalano Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Catalano_Park.jpg,Spring Garden,1,24,42003241200,1,24,1,1-5,40.46027648,-79.9919523
35,29267618,Chadwick Park,Park,Parks - Northeast,,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46548562,-79.89150182
36,708514774,Chartiers Park,Park,Parks - Western,,Windgap,2,28,42003563000,5,28,6,1-16,40.4569996,-80.07429276
37,712782057,Cobden Street Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41933769,-79.96819783
38,2113503545,Cowley Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Cowley_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45868971,-79.98892443
40,1938420516,Crafton Heights Park,Park,Parks - Western,,Westwood,2,28,42003563100,5,28,6,1-18,40.43618562,-80.05669426
41,1049783368,Cross and Strauss Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Cross_and_Strauss_Park.jpg,Perry South,6,26,42003261400,1,26,1,1-12,40.46507273,-80.02006439
43,1026385297,Dallas Park,Park,Parks - Eastern,,Homewood West,9,12,42003120700,2,12,5,3-17,40.45787275,-79.90451219
44,564546832,Davis Park,Park,Parks - Eastern,,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43236453,-79.92495677
45,636955251,Denny Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Denny_Park.jpg,Strip District,7,6,42003020300,6,6,2,3-2,40.45791529,-79.97300942
46,358324227,Devlin Field Park,Park,Parks - Southern,,Arlington,3,16,42003561600,3,16,3,4-8,40.41363133,-79.96239682
47,529528940,Dinan Park,Park,Parks - Northeast,,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48334706,-79.93258116
48,809506879,Dunbar Park,Park,Parks - Western,,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43875027,-80.05238196
49,422120933,Duncan Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Duncan_Park.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48027054,-79.94836599
50,517114806,East Carnegie Park,Park,Parks - Western,,East Carnegie,2,28,42003562800,5,28,6,1-19,40.41464246,-80.07487648
51,1933090844,East Hills Park,Park,Parks - Eastern,,East Hills,9,13,42003130600,2,13,5,3-19,40.45322138,-79.87049295
52,210545055,East Liberty Park,Park,Parks - Eastern,,East Liberty,9,11,42003111500,2,11,5,3-10,40.46206529,-79.91874532
55,303472511,Eleanor Street Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42140787,-79.97287912
56,1776238102,Emerald View Park - Grandview Park,Park,Parks - Western,,Allentown,3,18,42003180300,5,18,3,4-5,40.4265022,-79.99672317
57,1056960831,Emerald View Park - Bigbee Field Park,Park,Parks - Western,,Allentown,3,18,42003180300,5,18,3,4-5,40.42777444,-80.00137966
59,495410073,Emerald View Park - Eileen McCoy Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Emerald_View_Park_-_Eileen_McCoy_Park.jpg,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43820153,-80.02448974
60,919254688,Emerald View Park - Grandview Overlook,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43290121,-80.00852095
61,255934841,Emerald View Park - Mt. Washington Park,Park,Parks - Western,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42280959,-80.01545509
62,983437605,Emerald View Park - Olympia Park,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-1,40.43099486,-80.01836069
63,1599043610,Emerald View Park - Ream Park,Park,Parks - Western,,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43097353,-80.01324585
64,1783038748,Emerald View Park - Shiloh Street Park,Park,Parks - Western,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.43141682,-80.00674163
65,1066215150,Enright Park,Park,Parks - Northeast,,East Liberty,9,8,42003111500,2,8,5,3-23,40.46188541,-79.9298333
66,1702828724,Esplen Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Esplen_Park.jpg,Esplen,2,20,42003562500,5,20,6,1-27,40.46071792,-80.050795
67,716530927,Fairywood Park,Park,Parks - Western,,Fairywood,2,28,42003563000,5,28,6,1-16,40.4490034,-80.0804927
68,947765952,Fifty-Seventh Street Park,Park,Parks - Northeast,,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48600025,-79.94645706
69,462614651,Fineview Field Park,Park,Parks - Northern,,Fineview,6,25,42003250900,1,25,1,1-10,40.4598171,-80.00422974
70,603502102,Fineview Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Fineview_Park.jpg,Fineview,1,25,42003250900,1,25,1,1-10,40.46185303,-80.00397011
72,1788836753,Fort Pitt Park,Park,Parks - Northeast,,Garfield,9,10,42003101700,2,10,5,3-4,40.46948025,-79.94286062
73,809676292,Four Mile Run Park,Park,Parks - Schenley,,Greenfield,5,15,42003151600,3,15,4,2-12,40.42755086,-79.94946848
74,1057506371,Fowler Park,Park,Parks - Northern,,Perry South,6,26,42003261400,1,26,1,1-23,40.47020188,-80.0099397
75,1514882068,Frank Curto Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Frank_Curto_Park.jpg,Strip District,7,2,42003020300,6,2,2,2-6,40.45121632,-79.97770769
77,984641225,Frazier Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Frazier_Park.jpg,South Oakland,3,4,42003040900,3,4,4,2-11,40.42930297,-79.95480252
78,1948519895,Frick Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Frick_Park.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-20,40.42810207,-79.90652418
79,1424600619,Friendship Park,Park,Parks - Northeast,,Bloomfield,7,8,42003080900,2,8,5,3-6,40.462562,-79.94616121
80,1730609241,Gardner Park,Park,Parks - Northern,,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46169871,-79.98625964
81,148492759,Garland Park,Park,Parks - Northeast,,East Liberty,9,11,42003111500,2,11,5,3-8,40.46394917,-79.92763745
82,1261580004,Garvin Park,Park,Parks - Northern,,Perry North,1,26,42003260200,1,26,1,1-15,40.49254989,-80.01853913
83,504093825,Gladstone Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Gladstone_Park.jpg,Hazelwood,5,15,42003562300,3,15,4,2-12,40.41514649,-79.93860657
87,494844494,Granville Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Granville_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44440558,-79.98288845
89,1505343578,Hays Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Hays_Park.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.38339448,-79.93152605
91,159173801,Herschel Park,Park,Parks - Western,,Elliott,2,20,42003562600,5,20,6,1-17,40.43946222,-80.04345514
92,1479387219,Heth's Park,Park,Parks - Northeast,,Highland Park,7,11,42003110200,2,11,5,3-7,40.47767489,-79.92766686
94,1374250833,Highland Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Highland_Park.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.47889441,-79.91443522
95,1212017187,Homewood Park,Park,Parks - Eastern,,Homewood South,9,13,42003130300,2,13,5,3-17,40.45390633,-79.89981033
98,677736163,Jefferson Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Jefferson_Park.jpg,Central Northside,6,25,42003250300,1,25,1,1-21,40.45908991,-80.01453182
99,789893248,Joe Natoli Park,Park,Parks - Northeast,,Morningside,7,10,42003101400,2,10,5,3-7,40.48382384,-79.92577658
100,1557245892,Kennard Park,Park,Parks - Schenley,,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44269574,-79.97346025
101,658279072,Kite Hill Park,Park,Parks - Northeast,,Garfield,9,11,42003111400,2,11,5,3-4,40.46700606,-79.93261822
102,359786802,Larimer Park,Park,Parks - Northeast,,Larimer,9,12,42003120400,2,12,5,3-12,40.4663881,-79.91309448
103,1902802741,Lawn and Ophelia Park,Park,Parks - Schenley,,South Oakland,6,4,42003040900,3,4,4,2-10,40.43543415,-79.96526185
105,1992246196,Legion Memorial Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Legion_Memorial_Park.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48188282,-80.0347123
106,2029703175,Leister Street Park,Park,Parks - Northern,,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46212183,-79.99569252
107,139028095,Leolyn Park,Park,Parks - Southern,,Carrick,4,29,42003290200,3,29,3,4-12,40.39925237,-79.98589199
108,449003626,Leslie Park,Park,Parks - Northeast,,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47289785,-79.95755045
109,289174231,Lewis Park,Park,Parks - Eastern,,Hazelwood,5,15,42003562900,3,15,4,2-13,40.4128944,-79.94481042
111,1098059984,Lincoln Place Park,Park,Parks - Eastern,,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36997505,-79.91742673
113,1595333980,Lookout Street Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Lookout_Street_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46929339,-79.97693144
115,676260462,Magee Park,Park,Parks - Schenley,,Greenfield,5,15,42003151700,3,15,4,2-15,40.42521011,-79.93733765
116,1933985209,Manchester Park,Park,Parks - Northern,,Manchester,6,21,42003210700,1,21,1,1-8,40.45867217,-80.02545513
117,1016117282,Manchester School Park,Park,Parks - Northern,,Manchester,6,21,42003210700,1,21,1,1-8,40.45676217,-80.02489684
119,572257490,Marmaduke Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Marmaduke_Park.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48464888,-80.04296573
120,1665484106,Marshall-California Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Marshall-California_Park.jpg,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,40.46251844,-80.03059421
121,614041173,Martin Luther King Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Martin_Luther_King_Park.jpg,Terrace Village,6,5,42003051100,3,5,2,2-1,40.43987194,-79.97385447
122,1006332761,McBride Park,Park,Parks - Eastern,,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37029953,-79.9055486
123,2049400443,McCandless Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/McCandless_Park.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48078051,-79.95259923
124,1318913796,McGonigle Park,Park,Parks - Western,,Sheraden,2,20,42003202200,5,20,6,1-16,40.4592981,-80.06619909
125,1352109784,McKinley Park,Park,Parks - Southern,,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41283786,-80.00128661
126,25384660,McKnight Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/McKnight_Park.jpg,Manchester,6,21,42003210700,1,21,1,1-8,40.45199414,-80.02298989
128,1565122603,Mellon Park,Park,Parks - Eastern,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.4533552,-79.91686795
132,375307767,Monongahela Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.4216994,-79.96633324
133,964218237,Monongahela Wharf Landing Park,Park,Parks - Northern,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43743912,-80.00422742
134,177052962,Moore Park,Park,Parks - Southern,,Brookline,4,19,42003191700,5,19,6,4-26,40.40514609,-80.01349922
135,1541827179,Morrow Triangle Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Morrow_Triangle_Park.jpg,Bloomfield,7,8,42003080600,2,8,5,3-23,40.45656447,-79.93893686
136,2001007242,Mutual Park,Park,Parks - Western,,Sheraden,2,20,42003202200,5,20,6,1-16,40.45198505,-80.06416056
141,189207180,Nelson Mandela Peace Park,Park,Parks - Northeast,,Garfield,9,10,42003101700,2,10,5,3-4,40.46601648,-79.94065175
142,1185452095,Niagara Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Niagara_Park.jpg,South Oakland,3,4,42003040900,3,4,4,2-10,40.43471216,-79.96013725
143,309787733,Northshore Riverfront Park,Park,Parks - Northern,,North Shore,1,22,42003981200,6,22,1,1-7,40.44573292,-80.00964899
145,1744187794,Oakwood Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Oakwood_Park.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42598177,-80.06614313
147,583639890,Ormsby Park,Park,Parks - Southern,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42926411,-79.97413862
148,1665069146,Osceola Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Osceola_Park.jpg,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45671252,-79.94244175
150,980255802,Paul J. Sciullo II Memorial Park,Park,Parks - Northeast,,Lower Lawrenceville,7,8,42003060300,2,8,2,3-1,40.46223612,-79.95453316
151,1572177418,Pauline Park,Park,Parks - Southern,,Beechview,4,19,42003192000,5,19,6,4-28,40.40457577,-80.02594638
152,1705952425,Paulson Park,Park,Parks - Northeast,,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46852417,-79.9001091
154,83761989,Phillips Park,Park,Parks - Southern,,Carrick,4,29,42003290400,3,29,3,4-23,40.39089748,-79.99147515
158,536526140,Riverview Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Riverview_Park.jpg,Perry North,1,26,42003980400,1,26,1,1-15,40.48291081,-80.01959641
159,341513644,Robert E. Williams Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Robert_E._Williams_Park.jpg,Upper Hill,6,5,42003050600,3,5,2,2-22,40.4547436,-79.95879776
160,867273457,Roland Lockridge Community Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Roland_Lockridge_Community_Park.jpg,New Homestead,5,31,42003310300,3,31,4,4-20,40.39393226,-79.92073577
164,1881425039,Schenley Park,Park,Parks - Schenley,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43554408,-79.94297832
165,433489227,Scherer Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Scherer_Park.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46660498,-79.99962617
166,90818564,Shalane's Play Yard Park,Park,Parks - Schenley,,West Oakland,6,4,42003040200,3,4,4,2-10,40.44255365,-79.96488504
168,1064478922,Sheraden Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Sheraden_Park.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.45865116,-80.05978566
171,353743875,Southside Park,Park,Parks - Southern,,South Side Slopes,3,17,42003160800,3,17,3,4-22,40.42095095,-79.97741194
172,817955583,Southside Riverfront Park,Park,Parks - Southern,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.43138621,-79.97246543
173,1768633106,Spring Garden Park,Park,Parks - Northern,,Spring Garden,1,24,42003241200,1,24,1,1-24,40.4656749,-79.98576888
174,1378523824,Spring Hill Park,Park,Parks - Northern,,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.47023127,-79.99238443
175,1917616764,Andrew Joseph Kukuruda Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Andrew_Joseph_Kukuruda_Park.jpg,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43949317,-80.05610334
176,68102633,Sullivan Park,Park,Parks - Northeast,,Lower Lawrenceville,7,6,42003060300,2,6,2,3-6,40.46258823,-79.96325374
177,219157854,Swisshelm Park,Park,Parks - Eastern,,Swisshelm Park,5,14,42003141100,3,14,4,2-19,40.42103461,-79.90188285
180,11470988,Thomas Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Thomas_Park.jpg,Central Business District,6,1,42003020100,6,1,2,1-4,40.43649821,-79.998994
181,1643702639,Townsend Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Townsend_Park.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44306337,-80.04015048
182,1504989458,Tropical Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Tropical_Park.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.42226124,-80.02399069
183,1233709867,Troy Hill Citizen's Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Troy_Hill_Citizen's_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46322683,-79.98371492
184,1897479805,Tustin Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Tustin_Park.jpg,Bluff,6,1,42003010300,3,1,2,2-1,40.43669354,-79.97660331
185,1460991055,Tuxedo Street Skate Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Tuxedo_Street_Skate_Park.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45336555,-80.06651605
186,1952724428,Vanucci Park,Park,Parks - Southern,,Beechview,4,19,42003191600,5,19,6,4-28,40.41481051,-80.01784295
187,718054164,Venson Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Venson_Park.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-16,40.41637439,-80.00468196
189,1592511807,Vincennes Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Vincennes_Park.jpg,Middle Hill,6,5,42003050100,3,5,2,2-5,40.4510397,-79.9673478
190,1820301075,Volunteers Park,Park,Parks - Southern,,Carrick,4,29,42003290100,3,29,3,4-23,40.39701666,-79.9934226
191,656759119,Wabash Park,Park,Parks - Western,,West End,2,20,42003562600,5,20,6,1-17,40.43897911,-80.03412032
192,619762270,Warrington Park,Park,Parks - Southern,,Beltzhoover,3,18,42003562400,5,18,3,4-5,40.42140834,-80.00139497
193,691951672,Washburn Square Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Washburn_Square_Park.jpg,Marshall-Shadeland,1,27,42003270400,1,27,1,1-14,40.46705639,-80.03115145
194,2137736333,Washington's Landing Park,Park,Parks - Northern,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46875489,-79.97382231
195,660130896,West End Park,Park,Parks - Western,,Elliott,2,20,42003562600,5,20,6,1-17,40.43671267,-80.03709173
197,1849203338,West End-Elliott Overlook Park,Park,Parks - Western,,Elliott,2,20,42003562600,5,20,6,1-17,40.44633237,-80.03370281
198,913738654,West Penn Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/West_Penn_Park.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45489769,-79.97156265
199,2031115592,Westinghouse Park,Park,Parks - Eastern,,Point Breeze North,9,14,42003140500,2,14,4,3-14,40.45300557,-79.90275792
201,497574815,Westwood School Park,Park,Parks - Western,,Westwood,2,28,42003563100,5,28,6,1-18,40.43059252,-80.05016512
202,420525223,Wightman Park,Park,Parks - Eastern,,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44333007,-79.92706601
204,821363109,Winters Park,Park,Parks - Southern,,South Side Slopes,3,17,42003170600,3,17,3,4-3,40.42266736,-79.98144463
205,1460363095,Woods Run Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Woods_Run_Park.jpg,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47638344,-80.02925326
206,930068146,Young Field Park,Park,Parks - Northern,,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47296315,-80.03276848
207,1127012019,Zulema Park,Park,Parks - Schenley,,Central Oakland,3,4,42003040500,3,4,4,2-14,40.43569298,-79.95704807
208,1719897212,Liberty Green Park,Park,Parks - Northeast,,East Liberty,9,11,42003111500,2,11,5,3-10,40.46277314,-79.91931377
